epoch,accuracy,loss,val_accuracy,val_loss
0,0.36534736,1.32880304142144,0.4207492768764496,1.2689671100731885
1,0.6401882,0.9891947771979606,0.6916426420211792,0.8953626554362712
2,0.7979518,0.5775205699519177,0.7089337110519409,0.7730963534168276
3,0.85164684,0.40024330290671106,0.7146974205970764,0.7356841170822166
4,0.8865209,0.31642219924939957,0.6945244669914246,0.8251261388190542
5,0.90977025,0.2616232252091277,0.7002881765365601,0.8887134646132632
6,0.93191254,0.2090347706817901,0.729106605052948,0.9052350198157583
7,0.94243014,0.18031215827954367,0.6887608170509338,0.9517175146413468
8,0.9515638,0.149952666493225,0.6858789920806885,1.0334920515588106
9,0.9601439,0.1316756645819173,0.6858789920806885,1.0830697951467991
10,0.9673402,0.1143333493060941,0.6829971075057983,1.1226695855000521
11,0.9673402,0.10535229529299764,0.6743515729904175,1.225344300613623
12,0.9690008,0.1005943684165675,0.6829971075057983,1.2364778305680333
13,0.970108,0.09437750163803858,0.6743515729904175,1.2591274921763527
14,0.9739828,0.08425526622421947,0.6829971075057983,1.2892084420586183
15,0.9742596,0.08137482156476468,0.6829971075057983,1.3398709987700845
16,0.9756435,0.08441931396772286,0.6829971075057983,1.3935669193350273
17,0.97619706,0.07156479816472401,0.6685879230499268,1.4236325413761635
18,0.97758096,0.07090097654444869,0.6887608170509338,1.4557867613580797
19,0.97592026,0.07637477779764565,0.6628242135047913,1.4587981333306612
20,0.9778577,0.06791462727383897,0.6887608170509338,1.478661120109668
21,0.97758096,0.06562066199131662,0.680115282535553,1.5001653635536216
22,0.9781345,0.06738263779646417,0.680115282535553,1.5015542077743353
23,0.9753667,0.06409053897514523,0.6657060384750366,1.573825239104565
24,0.9770274,0.06334310728379178,0.680115282535553,1.5487832500886505
